##Wavelenght 49554.559 
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.017032
6427.6340	 0.017821
6427.7346	 0.013825
6427.8352	 0.008456
6427.9359	 0.004909
6428.0365	 0.009415
6428.1371	 0.013189
6428.2377	 0.008981
6428.3384	 0.008388
6428.4390	 0.010493
6428.5396	 0.006887
6428.6402	 0.007584
6428.7409	 0.007772
6428.8415	 0.007783
6428.9421	 0.012527
6429.0427	 0.010157
6429.1434	 0.011316
6429.2440	 0.017677
6429.3446	 0.021405
6429.4452	 0.032260
6429.5459	 0.045909
6429.6465	 0.053133
6429.7471	 0.058337
6429.8477	 0.064220
6429.9484	 0.065721
6430.0490	 0.072888
6430.1496	 0.079364
6430.2502	 0.073238
6430.3509	 0.073859
6430.4515	 0.075991
6430.5521	 0.069437
6430.6527	 0.072116
6430.7534	 0.071948
6430.8540	 0.063933
6430.9546	 0.073410
6431.0552	 0.079148
6431.1559	 0.083966
6431.2565	 0.083985
6431.3571	 0.077339
6431.4577	 0.083500
6431.5584	 0.093712
6431.6590	 0.092095
6431.7596	 0.092473
6431.8602	 0.086277
6431.9609	 0.088022
6432.0615	 0.080755
6432.1621	 0.073128
6432.2627	 0.061980
6432.3634	 0.056416
6432.4640	 0.050769
6432.5646	 0.042555
6432.6652	 0.046362
6432.7659	 0.044593
6432.8665	 0.041455
6432.9671	 0.043217
6433.0677	 0.042046
6433.1684	 0.043215
6433.2690	 0.051208
6433.3696	 0.044637
6433.4702	 0.044877
6434.0740	 0.026897
6434.1746	 0.021934
6434.2752	 0.018073
6434.3759	 0.016762
6434.4765	 0.021956
6434.5771	 0.021101
6434.6777	 0.016537
6434.7784	 0.017001
6434.8790	 0.017570
6434.9796	 0.015076
6436.6502	 0.010496
6436.7509	 0.016944
6436.8515	 0.020582
6436.9521	 0.020379
6437.0527	 0.029387
6437.1534	 0.018926
6437.2540	 0.021064
6437.3546	 0.021637
6437.4552	 0.030044
6437.5559	 0.034235
6437.6565	 0.042425
6437.7571	 0.054737
6437.8577	 0.062883
6437.9584	 0.073285
6438.0590	 0.089954
6438.1596	 0.097713
6438.2602	 0.096741
6438.3609	 0.107105
6438.4615	 0.103555
6438.5621	 0.101264
6438.6627	 0.102303
6438.7634	 0.108086
6438.8640	 0.104462
6438.9646	 0.102837
6439.0652	 0.104340
6439.1659	 0.098674
6439.2665	 0.099685
6439.3671	 0.106435
6439.4677	 0.107074
6439.5684	 0.110004
6439.6690	 0.109387
6439.7696	 0.102031
6439.8702	 0.104407
6439.9709	 0.098060
6440.0715	 0.090085
6440.1721	 0.082214
6440.2727	 0.071199
6440.3734	 0.058006
6440.4740	 0.044388
6440.5746	 0.031239
6440.6752	 0.021990
6440.7759	 0.019317
6440.8765	 0.022791
