##Wavelenght  49564.395 
lambda	Flux
0.1nm	---
---------	---------
6427.5334	 0.008893
6427.6340	 0.009887
6427.7346	 0.007790
6427.8352	 0.008678
6427.9359	 0.008562
6428.0365	 0.008461
6428.1371	 0.003828
6428.2377	 0.002333
6428.3384	 0.005366
6428.4390	 0.002623
6428.5396	 0.003634
6428.6402	 0.009001
6428.7409	 0.012467
6428.8415	 0.012500
6428.9421	 0.010235
6429.0427	 0.012933
6429.1434	 0.016128
6429.2440	 0.014677
6429.3446	 0.023174
6429.4452	 0.031996
6429.5459	 0.039381
6429.6465	 0.050600
6429.7471	 0.059807
6429.8477	 0.061810
6429.9484	 0.073937
6430.0490	 0.080275
6430.1496	 0.078732
6430.2502	 0.075134
6430.3509	 0.072667
6430.4515	 0.077910
6430.5521	 0.076773
6430.6527	 0.078815
6430.7534	 0.073280
6430.8540	 0.065889
6430.9546	 0.071507
6431.0552	 0.076492
6431.1559	 0.082399
6431.2565	 0.089079
6431.3571	 0.090394
6431.4577	 0.097811
6431.5584	 0.097561
6431.6590	 0.099172
6431.7596	 0.094693
6431.8602	 0.091924
6431.9609	 0.086011
6432.0615	 0.075900
6432.1621	 0.065575
6432.2627	 0.065071
6432.3634	 0.058588
6432.4640	 0.046692
6432.5646	 0.045630
6432.6652	 0.046994
6432.7659	 0.048033
6432.8665	 0.043074
6432.9671	 0.043544
6433.0677	 0.051745
6433.1684	 0.046355
6433.2690	 0.039137
6433.3696	 0.040109
6433.4702	 0.038623
6434.0740	 0.032357
6434.1746	 0.023600
6434.2752	 0.022807
6434.3759	 0.015118
6434.4765	 0.014438
6434.5771	 0.019387
6434.6777	 0.015874
6434.7784	 0.012420
6434.8790	 0.005290
6434.9796	 0.005519
6436.6502	 0.012553
6436.7509	 0.017688
6436.8515	 0.015171
6436.9521	 0.018090
6437.0527	 0.014799
6437.1534	 0.020811
6437.2540	 0.022463
6437.3546	 0.020971
6437.4552	 0.029954
6437.5559	 0.035794
6437.6565	 0.047471
6437.7571	 0.058249
6437.8577	 0.070775
6437.9584	 0.080052
6438.0590	 0.090249
6438.1596	 0.093955
6438.2602	 0.096027
6438.3609	 0.098657
6438.4615	 0.104438
6438.5621	 0.112014
6438.6627	 0.106999
6438.7634	 0.109257
6438.8640	 0.106189
6438.9646	 0.101486
6439.0652	 0.099465
6439.1659	 0.101371
6439.2665	 0.095706
6439.3671	 0.093788
6439.4677	 0.102582
6439.5684	 0.109471
6439.6690	 0.109064
6439.7696	 0.106243
6439.8702	 0.103624
6439.9709	 0.098193
6440.0715	 0.091537
6440.1721	 0.087943
6440.2727	 0.076667
6440.3734	 0.059922
6440.4740	 0.043172
6440.5746	 0.028621
6440.6752	 0.019610
6440.7759	 0.017798
6440.8765	 0.020211
