##Wavelenght  50999.559
lambda	Flux
0.1nm	---
---------	---------
6409.6188	 0.013549
6409.6588	 0.007606
6409.6988	 0.005578
6409.7388	 0.007740
6409.7788	 0.013423
6409.8187	 0.012713
6409.8587	 0.012603
6409.8987	 0.014680
6409.9387	 0.016513
6409.9787	 0.019935
6410.0187	 0.021665
6410.0587	 0.022441
6410.0987	 0.024962
6410.1387	 0.027995
6410.1786	 0.030335
6410.2186	 0.029676
6410.2586	 0.038467
6410.2986	 0.036793
6410.3386	 0.043084
6410.3786	 0.050930
6410.4186	 0.052676
6410.4586	 0.054675
6410.4986	 0.058644
6410.5385	 0.069102
6410.5785	 0.072467
6410.6185	 0.075176
6410.6585	 0.082531
6410.6985	 0.081764
6410.7385	 0.083946
6410.7785	 0.088681
6410.8185	 0.087086
6410.8585	 0.086424
6410.8985	 0.091500
6410.9384	 0.091870
6410.9784	 0.091614
6411.0184	 0.093837
6411.0584	 0.093353
6411.0984	 0.094193
6411.1384	 0.097560
6411.1784	 0.097347
6411.2184	 0.097623
6411.2584	 0.098532
6411.2983	 0.097582
6411.3383	 0.096187
6411.3783	 0.091821
6411.4183	 0.087779
6411.4583	 0.093525
6411.4983	 0.096759
6411.5383	 0.093148
6411.5783	 0.094348
6411.6183	 0.092809
6411.6582	 0.093690
6411.6982	 0.092449
6411.7382	 0.091779
6411.7782	 0.094502
6411.8182	 0.093656
6411.8582	 0.091746
6411.8982	 0.089422
6411.9382	 0.087039
6411.9782	 0.082879
6412.0181	 0.078777
6412.0581	 0.072783
6412.0981	 0.071024
6412.1381	 0.073934
6412.1781	 0.070454
6412.2181	 0.069997
6412.2581	 0.072598
6412.2981	 0.074596
6412.3381	 0.077898
6412.3781	 0.081960
6412.4180	 0.076895
6412.4580	 0.068057
6412.4980	 0.073337
6412.5380	 0.068530
6412.5780	 0.070824
6412.6180	 0.064754
6412.6580	 0.061331
6412.6980	 0.054223
6412.7380	 0.057154
6412.7779	 0.058502
6412.8179	 0.053967
6412.8579	 0.047873
6412.8979	 0.043217
6412.9379	 0.041791
6412.9779	 0.037518
6413.0179	 0.031623
6413.0579	 0.029018
6413.0979	 0.025872
6413.1378	 0.021669
