,brightness
0,16731.626265635263
1,16731.626265635263
2,16731.626265635263
3,16731.626265635263
4,16731.626265635263
5,16731.626265635263
6,16731.626265635263
7,16731.626265635263
8,16731.626265635263
9,16731.626265635263
10,16731.626265635263
11,16731.626265635263
12,16731.626265635263
13,16731.626265635263
14,16731.626265635263
15,16731.626265635263
16,16731.626265635263
17,16731.626265635263
18,16731.626265635263
19,16731.626265635263
20,16731.626265635263
21,16731.626265635263
22,16731.626265635263
23,16731.626265635263
24,16731.626265635263
25,16731.626265635263
26,16731.626265635263
27,16731.626265635263
28,16731.626265635263
29,16731.626265635263
30,16731.626265635263
31,16731.626265635263
32,16731.626265635263
33,16731.626265635263
34,16731.626265635263
35,16731.626265635263
36,16731.626265635263
37,16731.626265635263
38,16731.626265635263
39,16731.626265635263
40,16731.626265635263
41,16731.626265635263
42,16731.626265635263
43,16731.626265635263
44,16731.626265635263
45,16731.626265635263
46,16731.626265635263
47,16731.626265635263
48,16731.626265635263
49,16731.626265635263
50,16731.626265635263
51,16731.626265635263
52,16731.626265635263
53,16731.626265635263
54,16731.626265635263
55,16731.626265635263
56,16731.626265635263
57,16731.626265635263
58,16731.626265635263
59,16731.626265635263
60,16731.626265635263
61,16731.626265635263
62,16731.626265635263
63,16731.626265635263
64,16731.626265635263
65,652.8419942086003
66,652.8419942086003
67,652.8419942086003
68,652.8419942086003
69,16731.626265635263
70,16731.626265635263
71,16731.626265635263
72,16731.626265635263
73,16731.626265635263
74,16731.626265635263
75,16731.626265635263
76,16731.626265635263
77,16731.626265635263
78,16731.626265635263
79,16731.626265635263
80,16731.626265635263
81,16731.626265635263
82,16731.626265635263
83,16731.626265635263
84,16731.626265635263
85,16731.626265635263
86,16731.626265635263
87,16731.626265635263
88,25501.640398773452
89,25501.640398773452
90,25501.640398773452
91,25501.640398773452
92,16731.626265635263
93,16731.626265635263
94,16731.626265635263
95,652.8419942086003
96,652.8419942086003
97,652.8419942086003
98,652.8419942086003
99,652.8419942086003
100,16731.626265635263
101,16731.626265635263
102,16731.626265635263
103,16731.626265635263
104,16731.626265635263
105,16731.626265635263
106,16731.626265635263
107,16731.626265635263
108,16731.626265635263
109,16731.626265635263
110,16731.626265635263
111,16731.626265635263
112,16731.626265635263
113,16731.626265635263
114,16731.626265635263
115,16731.626265635263
116,16731.626265635263
117,16731.626265635263
118,16731.626265635263
119,16731.626265635263
120,16731.626265635263
121,25501.640398773452
122,25501.640398773452
123,25501.640398773452
124,25501.640398773452
125,25501.640398773452
126,16731.626265635263
127,16731.626265635263
128,16731.626265635263
129,16731.626265635263
130,652.8419942086003
131,652.8419942086003
132,652.8419942086003
133,652.8419942086003
134,16731.626265635263
135,16731.626265635263
136,16731.626265635263
137,16731.626265635263
138,16731.626265635263
139,16731.626265635263
140,16731.626265635263
141,16731.626265635263
142,16731.626265635263
143,16731.626265635263
144,16731.626265635263
145,16731.626265635263
146,16731.626265635263
147,16731.626265635263
148,16731.626265635263
149,16731.626265635263
150,16731.626265635263
151,16731.626265635263
152,16731.626265635263
153,16731.626265635263
154,16731.626265635263
155,16731.626265635263
156,16731.626265635263
157,16731.626265635263
158,16731.626265635263
159,25501.640398773452
160,25501.640398773452
161,25501.640398773452
162,25501.640398773452
163,16731.626265635263
164,16731.626265635263
165,16731.626265635263
166,16731.626265635263
167,16731.626265635263
168,16731.626265635263
169,16731.626265635263
170,16731.626265635263
171,16731.626265635263
172,16731.626265635263
173,16731.626265635263
174,16731.626265635263
175,16731.626265635263
176,16731.626265635263
177,16731.626265635263
178,16731.626265635263
179,16731.626265635263
180,16731.626265635263
181,16731.626265635263
182,16731.626265635263
183,16731.626265635263
184,16731.626265635263
185,16731.626265635263
186,16731.626265635263
187,16731.626265635263
188,16731.626265635263
189,16731.626265635263
190,16731.626265635263
191,16731.626265635263
192,16731.626265635263
193,16731.626265635263
194,16731.626265635263
195,16731.626265635263
196,16731.626265635263
197,16731.626265635263
198,16731.626265635263
199,16731.626265635263
200,16731.626265635263
201,16731.626265635263
202,16731.626265635263
203,16731.626265635263
204,16731.626265635263
205,16731.626265635263
206,16731.626265635263
207,16731.626265635263
208,16731.626265635263
209,16731.626265635263
210,16731.626265635263
211,16731.626265635263
212,16731.626265635263
213,16731.626265635263
214,16731.626265635263
215,16731.626265635263
216,16731.626265635263
217,16731.626265635263
218,16731.626265635263
219,16731.626265635263
220,16731.626265635263
221,16731.626265635263
222,16731.626265635263
223,16731.626265635263
224,16731.626265635263
225,16731.626265635263
226,16731.626265635263
227,16731.626265635263
228,16731.626265635263
229,16731.626265635263
230,16731.626265635263
231,16731.626265635263
232,16731.626265635263
233,16731.626265635263
234,16731.626265635263
235,16731.626265635263
236,16731.626265635263
237,16731.626265635263
238,16731.626265635263
239,16731.626265635263
240,16731.626265635263
241,16731.626265635263
242,16731.626265635263
243,16731.626265635263
244,16731.626265635263
245,16731.626265635263
246,16731.626265635263
247,40.80262463803752
248,40.80262463803752
249,16731.626265635263
250,16731.626265635263
251,16731.626265635263
252,16731.626265635263
253,16731.626265635263
254,16731.626265635263
255,16731.626265635263
256,16731.626265635263
257,1593.8525249233408
258,1593.8525249233408
259,1593.8525249233408
260,16731.626265635263
261,16731.626265635263
262,16731.626265635263
263,16731.626265635263
264,16731.626265635263
265,16731.626265635263
266,16731.626265635263
267,52880.20153089663
268,52880.20153089663
269,52880.20153089663
270,52880.20153089663
271,16731.626265635263
272,16731.626265635263
273,16731.626265635263
274,16731.626265635263
275,16731.626265635263
276,16731.626265635263
277,16731.626265635263
278,1593.8525249233408
279,1593.8525249233408
280,1593.8525249233408
281,16731.626265635263
282,16731.626265635263
283,16731.626265635263
284,16731.626265635263
285,16731.626265635263
286,16731.626265635263
287,16731.626265635263
288,16731.626265635263
289,40.80262463803752
290,40.80262463803752
291,40.80262463803752
292,16731.626265635263
293,16731.626265635263
294,16731.626265635263
295,16731.626265635263
296,16731.626265635263
297,16731.626265635263
298,16731.626265635263
299,1593.8525249233408
300,1593.8525249233408
301,1593.8525249233408
302,1593.8525249233408
303,16731.626265635263
304,16731.626265635263
305,16731.626265635263
306,16731.626265635263
307,16731.626265635263
308,16731.626265635263
309,16731.626265635263
310,52880.20153089663
311,52880.20153089663
312,52880.20153089663
313,16731.626265635263
314,16731.626265635263
315,16731.626265635263
316,16731.626265635263
317,16731.626265635263
318,16731.626265635263
319,16731.626265635263
320,1593.8525249233408
321,1593.8525249233408
322,1593.8525249233408
323,1593.8525249233408
324,16731.626265635263
325,16731.626265635263
326,16731.626265635263
327,16731.626265635263
328,16731.626265635263
329,16731.626265635263
330,16731.626265635263
331,40.80262463803752
332,40.80262463803752
333,40.80262463803752
334,16731.626265635263
335,16731.626265635263
336,16731.626265635263
337,16731.626265635263
338,16731.626265635263
339,16731.626265635263
340,16731.626265635263
341,1593.8525249233408
342,1593.8525249233408
343,1593.8525249233408
344,16731.626265635263
345,16731.626265635263
346,16731.626265635263
347,16731.626265635263
348,16731.626265635263
349,16731.626265635263
350,16731.626265635263
351,52880.20153089663
352,52880.20153089663
353,52880.20153089663
354,52880.20153089663
355,16731.626265635263
356,16731.626265635263
357,16731.626265635263
358,16731.626265635263
359,16731.626265635263
360,16731.626265635263
361,16731.626265635263
362,1593.8525249233408
363,1593.8525249233408
364,1593.8525249233408
365,16731.626265635263
366,16731.626265635263
367,16731.626265635263
368,16731.626265635263
369,16731.626265635263
370,16731.626265635263
371,16731.626265635263
372,40.80262463803752
373,40.80262463803752
374,16731.626265635263
375,16731.626265635263
376,16731.626265635263
377,16731.626265635263
378,16731.626265635263
379,16731.626265635263
380,16731.626265635263
381,16731.626265635263
382,16731.626265635263
383,1593.8525249233408
384,16731.626265635263
385,16731.626265635263
386,16731.626265635263
387,16731.626265635263
388,16731.626265635263
389,16731.626265635263
390,16731.626265635263
391,16731.626265635263
392,16731.626265635263
393,16731.626265635263
394,16731.626265635263
395,16731.626265635263
396,16731.626265635263
397,16731.626265635263
398,16731.626265635263
399,16731.626265635263
400,16731.626265635263
401,16731.626265635263
402,1593.8525249233408
403,16731.626265635263
404,16731.626265635263
405,16731.626265635263
406,16731.626265635263
407,16731.626265635263
408,16731.626265635263
409,16731.626265635263
410,16731.626265635263
411,16731.626265635263
412,16731.626265635263
413,16731.626265635263
414,16731.626265635263
415,16731.626265635263
416,16731.626265635263
417,16731.626265635263
418,16731.626265635263
419,16731.626265635263
420,16731.626265635263
421,16731.626265635263
422,16731.626265635263
423,16731.626265635263
424,16731.626265635263
425,16731.626265635263
426,16731.626265635263
427,16731.626265635263
428,16731.626265635263
429,16731.626265635263
430,16731.626265635263
431,16731.626265635263
432,16731.626265635263
433,16731.626265635263
434,16731.626265635263
435,16731.626265635263
436,16731.626265635263
437,16731.626265635263
438,16731.626265635263
439,16731.626265635263
440,16731.626265635263
441,16731.626265635263
442,16731.626265635263
443,16731.626265635263
444,16731.626265635263
445,16731.626265635263
446,16731.626265635263
447,16731.626265635263
448,16731.626265635263
449,16731.626265635263
450,16731.626265635263
451,16731.626265635263
452,16731.626265635263
453,16731.626265635263
454,16731.626265635263
455,16731.626265635263
456,16731.626265635263
457,16731.626265635263
458,16731.626265635263
459,16731.626265635263
460,16731.626265635263
461,16731.626265635263
462,16731.626265635263
463,16731.626265635263
464,16731.626265635263
465,16731.626265635263
466,16731.626265635263
467,16731.626265635263
468,16731.626265635263
469,16731.626265635263
470,16731.626265635263
471,16731.626265635263
472,16731.626265635263
473,16731.626265635263
474,16731.626265635263
475,16731.626265635263
476,16731.626265635263
477,16731.626265635263
